"Дата","Цена","Откр.","Макс.","Мин.","Объём","Изм. %"
"27.10.2021","8,660","9,190","9,190","8,500","123,62K","-0,57%"
"26.10.2021","8,710","8,910","9,360","8,710","180,41K","-3,54%"
"25.10.2021","9,030","8,870","9,250","8,500","287,69K","5,49%"
"22.10.2021","8,560","8,800","8,990","8,310","234,05K","-4,99%"
"21.10.2021","9,010","8,970","9,240","8,611","665,18K","-4,86%"
"20.10.2021","9,470","10,150","10,480","8,790","10,85M","12,34%"
"19.10.2021","8,430","8,200","8,476","8,000","159,44K","6,71%"
"18.10.2021","7,900","8,160","8,160","7,710","145,92K","-3,54%"
"15.10.2021","8,190","8,530","8,750","8,050","195,67K","6,90%"
"14.10.2021","7,661","7,500","7,900","7,500","85,12K","2,90%"
"13.10.2021","7,445","7,412","7,540","7,350","36,62K","0,61%"
"12.10.2021","7,400","7,450","7,650","7,350","136,26K","-0,80%"
"11.10.2021","7,460","7,350","7,480","7,350","65,66K","1,50%"
"08.10.2021","7,350","7,600","7,620","7,220","79,42K","-3,03%"
"07.10.2021","7,580","7,500","7,810","7,470","87,50K","3,98%"
"06.10.2021","7,290","7,380","7,903","7,150","152,33K","-0,95%"
"05.10.2021","7,360","8,050","8,760","7,330","796,70K","-9,14%"
"04.10.2021","8,100","8,240","8,630","8,000","443,29K","-2,29%"
"01.10.2021","8,290","8,430","8,970","8,010","226,12K","0,24%"
"30.09.2021","8,270","7,990","9,300","7,530","1,03M","4,16%"
"29.09.2021","7,940","9,890","9,903","7,620","700,36K","-20,12%"
"28.09.2021","9,940","10,090","10,380","9,550","1,38M","-1,97%"
"27.09.2021","10,140","10,120","10,170","9,920","487,59K","0,90%"
"24.09.2021","10,050","10,000","10,800","9,670","829,04K","0,50%"
"23.09.2021","10,000","10,020","10,020","9,980","518,66K","0,00%"
"22.09.2021","10,000","9,970","10,010","9,970","573,21K","0,30%"
"21.09.2021","9,970","9,990","10,010","9,970","2,20M","0,00%"
"20.09.2021","9,970","10,000","10,000","9,970","296,50K","-0,30%"
"17.09.2021","10,000","9,980","10,020","9,970","1,75M","0,30%"
"16.09.2021","9,970","9,970","9,980","9,965","972,00K","0,00%"
"15.09.2021","9,970","9,970","9,975","9,960","673,29K","0,05%"
"14.09.2021","9,965","9,980","9,980","9,960","280,53K","-0,15%"
"13.09.2021","9,980","9,990","9,990","9,961","93,67K","0,20%"
"10.09.2021","9,960","9,980","9,980","9,960","177,87K","-0,05%"
"09.09.2021","9,965","9,960","9,980","9,960","238,16K","-0,05%"
"08.09.2021","9,970","10,000","10,000","9,950","45,30K","-0,18%"
"07.09.2021","9,988","9,950","9,990","9,950","311,15K","0,48%"
"03.09.2021","9,940","9,950","9,950","9,910","49,28K","0,00%"
"02.09.2021","9,940","9,911","9,940","9,910","381,16K","0,20%"
"01.09.2021","9,920","9,920","9,930","9,900","61,15K","0,10%"
"31.08.2021","9,910","9,910","9,920","9,890","33,83K","-0,10%"
"30.08.2021","9,920","9,900","9,920","9,890","38,03K","0,40%"
"27.08.2021","9,880","9,920","9,920","9,880","16,51K","-0,20%"
"26.08.2021","9,900","9,870","9,900","9,870","23,73K","0,00%"
"25.08.2021","9,900","9,900","9,900","9,881","23,38K","0,40%"
"24.08.2021","9,861","9,870","9,880","9,861","4,24K","0,01%"
"23.08.2021","9,860","9,880","9,900","9,860","15,99K","-0,37%"
"20.08.2021","9,897","9,890","9,920","9,890","556,29K","0,17%"
"19.08.2021","9,880","9,890","9,890","9,880","50,75K","0,00%"
"18.08.2021","9,880","9,880","9,890","9,880","11,59K","0,00%"
"17.08.2021","9,880","9,890","9,890","9,880","31,77K","0,00%"
"16.08.2021","9,880","9,862","9,880","9,860","68,95K","0,00%"
"13.08.2021","9,880","9,850","9,880","9,850","252,44K","0,20%"
"12.08.2021","9,860","9,863","9,870","9,860","5,55K","-0,30%"
"11.08.2021","9,890","9,880","9,900","9,880","116,64K","0,10%"
"10.08.2021","9,880","9,860","9,880","9,860","32,95K","0,00%"
"09.08.2021","9,880","9,860","9,896","9,860","199,92K","0,00%"
"06.08.2021","9,880","9,890","9,890","9,865","309,85K","0,00%"
"05.08.2021","9,880","9,860","9,880","9,860","3,60K","0,30%"
"04.08.2021","9,850","9,875","9,875","9,850","104,29K","-0,20%"
"03.08.2021","9,870","9,860","9,875","9,860","118,80K","0,10%"
"02.08.2021","9,860","9,900","9,900","9,860","24,03K","0,00%"
"30.07.2021","9,860","9,860","9,860","9,860","0,44K","0,05%"
"29.07.2021","9,855","9,853","9,860","9,850","1,95K","0,05%"
"28.07.2021","9,850","9,852","9,852","9,850","0,23K","0,10%"
"27.07.2021","9,840","9,888","9,888","9,840","222,09K","-0,10%"
"26.07.2021","9,850","9,850","9,870","9,845","265,70K","-0,40%"
"23.07.2021","9,890","9,890","9,890","9,850","5,05K","0,10%"
"22.07.2021","9,880","9,850","9,880","9,850","35,64K","0,00%"
"21.07.2021","9,880","9,890","9,890","9,860","17,14K","0,00%"
"20.07.2021","9,880","9,860","9,900","9,860","9,32K","0,00%"
"19.07.2021","9,880","9,850","9,880","9,850","14,51K","0,00%"
"16.07.2021","9,880","9,850","9,880","9,850","32,60K","0,00%"
"15.07.2021","9,880","9,900","9,900","9,860","119,83K","-0,10%"
"14.07.2021","9,890","9,897","9,897","9,880","3,74K","-0,10%"
"13.07.2021","9,900","9,890","9,900","9,890","15,86K","0,20%"
"12.07.2021","9,880","9,880","9,900","9,880","3,97K","0,00%"
"09.07.2021","9,880","9,880","9,880","9,880","4,78K","0,00%"
"08.07.2021","9,880","9,890","9,890","9,880","3,51K","-0,10%"
"07.07.2021","9,890","9,890","9,890","9,870","1,58K","0,00%"
"06.07.2021","9,890","9,880","9,890","9,870","6,68K","0,00%"
"02.07.2021","9,890","9,890","9,890","9,870","16,05K","0,00%"
"01.07.2021","9,890","9,870","9,890","9,870","22,66K","0,20%"
"30.06.2021","9,870","9,870","9,890","9,870","21,46K","-0,10%"
"29.06.2021","9,880","9,870","9,890","9,870","13,31K","0,00%"
"28.06.2021","9,880","9,870","9,890","9,870","53,68K","0,00%"
"25.06.2021","9,880","9,880","9,890","9,870","182,39K","0,00%"
"24.06.2021","9,880","9,880","9,890","9,880","128,22K","-0,10%"
"23.06.2021","9,890","9,880","9,890","9,880","8,04K","0,00%"
"22.06.2021","9,890","9,885","9,890","9,880","84,40K","0,00%"
"21.06.2021","9,890","9,870","9,890","9,870","216,88K","0,10%"
"18.06.2021","9,880","9,870","9,880","9,870","22,08K","0,00%"
"17.06.2021","9,880","9,880","9,890","9,875","868,83K","0,00%"
"16.06.2021","9,880","9,880","9,900","9,860","212,47K","-0,10%"
"15.06.2021","9,890","9,880","9,890","9,870","5,62K","0,10%"
"14.06.2021","9,880","9,890","9,890","9,860","374,89K","0,00%"
"11.06.2021","9,880","9,890","9,900","9,880","36,67K","0,00%"
"10.06.2021","9,880","9,880","9,900","9,880","37,20K","0,00%"
"09.06.2021","9,880","9,870","9,900","9,870","95,37K","0,00%"
"08.06.2021","9,880","9,892","9,892","9,860","62,62K","0,00%"
"07.06.2021","9,880","9,880","9,900","9,880","77,49K","0,10%"
"04.06.2021","9,870","9,870","9,880","9,870","175,43K","-0,10%"
"03.06.2021","9,880","9,870","9,880","9,870","143,83K","-0,30%"
"02.06.2021","9,910","9,870","9,920","9,850","30,22K","0,61%"
"01.06.2021","9,850","9,870","9,870","9,840","14,53K","0,00%"
"28.05.2021","9,850","9,870","9,870","9,840","30,93K","0,00%"
"27.05.2021","9,850","9,882","9,882","9,840","81,35K","-0,30%"
"26.05.2021","9,880","9,870","9,900","9,870","14,12K","0,20%"
"25.05.2021","9,860","9,880","9,895","9,860","11,80K","-0,20%"
"24.05.2021","9,880","9,880","9,880","9,880","0,58K","0,00%"
"21.05.2021","9,880","9,880","9,890","9,860","360,44K","0,00%"
"20.05.2021","9,880","9,910","9,910","9,870","3,59K","-0,10%"
"19.05.2021","9,890","9,880","9,910","9,880","543,32K","0,30%"
"18.05.2021","9,860","9,890","9,910","9,850","97,35K","-0,20%"
"17.05.2021","9,880","9,880","9,888","9,850","20,14K","0,00%"
"14.05.2021","9,880","9,870","9,880","9,870","5,04K","0,00%"
"13.05.2021","9,880","9,880","9,890","9,860","29,68K","-0,10%"
"12.05.2021","9,890","9,870","9,890","9,850","201,08K","0,00%"
"11.05.2021","9,890","9,870","9,890","9,850","26,38K","-0,10%"
"10.05.2021","9,900","9,880","9,900","9,880","12,42K","0,10%"
"07.05.2021","9,890","9,870","9,900","9,870","15,72K","0,00%"
"06.05.2021","9,890","9,880","9,900","9,870","366,69K","-0,10%"
"05.05.2021","9,900","9,885","9,900","9,870","6,64K","-0,30%"
"04.05.2021","9,930","9,940","9,940","9,881","39,34K","-0,20%"
"03.05.2021","9,950","9,910","9,950","9,870","60,46K","0,30%"
"30.04.2021","9,920","9,853","9,930","9,853","35,29K","0,51%"
"29.04.2021","9,870","9,900","9,900","9,850","49,19K","0,10%"
"28.04.2021","9,860","9,860","9,899","9,850","301,59K","-0,10%"
"27.04.2021","9,870","9,880","9,920","9,830","796,63K","-0,40%"
"26.04.2021","9,910","9,860","9,950","9,830","69,24K","0,00%"
"23.04.2021","9,910","9,850","9,910","9,850","40,45K","0,30%"
"22.04.2021","9,880","9,850","9,880","9,850","73,52K","0,41%"
"21.04.2021","9,840","9,810","9,850","9,790","20,14K","0,51%"
"20.04.2021","9,790","9,800","9,840","9,790","134,65K","-0,10%"
"19.04.2021","9,800","9,880","9,900","9,790","150,17K","-1,01%"
"16.04.2021","9,900","9,910","9,990","9,880","133,34K","-0,50%"
"15.04.2021","9,950","9,890","9,970","9,890","433,11K","0,30%"
"14.04.2021","9,920","9,910","9,950","9,860","352,26K","-0,30%"
"13.04.2021","9,950","10,000","10,000","9,900","193,09K","-0,40%"
"12.04.2021","9,990","10,000","10,000","9,910","401,36K","-0,30%"
"09.04.2021","10,020","10,040","10,040","9,990","364,42K","-0,30%"
"08.04.2021","10,050","9,900","10,050","9,900","817,62K","0,50%"
"07.04.2021","10,000","10,220","10,320","9,910","6,77M","3,09%"
"06.04.2021","9,700","9,710","9,710","9,660","5,65K","0,00%"
"05.04.2021","9,700","9,700","9,715","9,680","11,47K","0,31%"
"30.03.2021","9,670","9,690","9,690","9,640","11,75K","0,52%"
"29.03.2021","9,620","9,590","9,720","9,590","6,68K","-0,31%"
"26.03.2021","9,650","9,580","9,800","9,580","110,09K","0,52%"
"25.03.2021","9,600","9,600","9,600","9,600","41,01K","0,52%"
"24.03.2021","9,550","9,550","9,550","9,550","0,51K","-1,55%"
"23.03.2021","9,700","9,710","9,710","9,620","2,04K","-1,12%"
"22.03.2021","9,810","9,860","9,860","9,810","0,93K","0,10%"
